Date	Break	MC	Retrace	Rating	Result	Filter	Day	Month	R	Cumulative R	Week R	News	2nd Break
17-Jun-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Jun	2	23		0	Yes 
18-Jun-2025	No	No	No	0	No Trade	No Set up	Wednesday	Jun		23		FOMC	0
19-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Thursday	Jun		23		0	0
20-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Friday	Jun		23	4	0	0
23-Jun-2025	Yes	Yes	Yes	3	Win	0	Monday	Jun	2	25		0	Yes 
24-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Tuesday	Jun		25		0	0
25-Jun-2025	Yes	Yes	Yes	3	Loss	0	Wednesday	Jun	-1	24		0	0
26-Jun-2025	Yes	No	Yes	2	No Trade	No Set up	Thursday	Jun		24		0	0
27-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Friday	Jun		24	1	0	0
30-Jun-2025	Yes	No	Yes	2	No Trade	Avoided Loss	Monday	Jun		24		0	0
1-Jul-2025	Yes	No	Yes	2	No Trade	Missed Win	Tuesday	Jul		24		0	0
2-Jul-2025	No	No	No	0	No Trade	No Set up	Wednesday	Jul		24		0	0
3-Jul-2025	Yes	Yes	Yes	3	Win	0	Thursday	Jul	2	26		NFP	Yes 
4-Jul-2025	No	No	No	0	No Trade	Avoided Loss	Friday	Jul		26	2	0	0
7-Jul-2025	Yes	Yes	Yes	3	Win	0	Monday	Jul	2	28		0	0
8-Jul-2025	No	No	No	0	No Trade	No Set up	Tuesday	Jul		28		0	0
9-Jul-2025	No	Yes	Yes	2	No Trade	No Set up	Wednesday	Jul		28		0	0
10-Jul-2025	Yes	Yes	Yes	3	Win	0	Thursday	Jul	2	30		0	0
11-Jul-2025	Yes	Yes	Yes	3	Loss	0	Friday	Jul	-1	29	3	0	0
14-Jul-2025	Yes	No	No	1	No Trade	Avoided Loss	Monday	Jul		29		0	0
15-Jul-2025	No	Yes	Yes	2	No Trade	No Set up	Tuesday	Jul		29		CPI	0
16-Jul-2025	No	No	Yes	1	No Trade	No Set up	Wednesday	Jul		29		PPI	0
17-Jul-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Thursday	Jul		29		0	0
18-Jul-2025	Yes	Yes	No	2	No Trade	Missed Win	Friday	Jul		29	0	0	0
21-Jul-2025	No	No	No	0	No Trade	Avoided Loss	Monday	Jul		29		0	0
22-Jul-2025	Yes	Yes	Yes	3	Loss	0	Tuesday	Jul	-1	28		FED	0
23-Jul-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Wednesday	Jul		28		0	0
24-Jul-2025	Yes	Yes	Yes	3	Win	0	Thursday	Jul	2	30		0	0
25-Jul-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Friday	Jul		30	1	0	0
28-Jul-2025	No	No	No	0	No Trade	Avoided Loss	Monday	0		30		0	0
29-Jul-2025	Yes	Yes	Yes	3	Loss	0	Tuesday	Jul	-1	29		0	0
30-Jul-2025	Yes	No	Yes	2	No Trade	Avoided Loss	Wednesday	Jul		29		FOMC	0
31-Jul-2025	No	No	No	0	No Trade	No Set up	Thursday	Jul		29		0	0
1-Aug-2025	No	No	No	0	No Trade	No Set up	Friday	Aug		29	-1	NFP	0
4-Aug-2025	Yes	Yes	Yes	3	Win	0	Monday	Aug	2	31		0	0
5-Aug-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Aug	2	33		0	0
6-Aug-2025	Yes	No	Yes	2	No Trade	No Set up	Wednesday	Aug		33		0	0
7-Aug-2025	Yes	Yes	Yes	3	Win	0	Thursday	Aug	2	35		0	0
8-Aug-2025	Yes	Yes	No	2	No Trade	No Set up	Friday	Aug		35	6	0	0
11-Aug-2025	Yes	Yes	Yes	3	Win	0	Monday	Aug	2	37		0	Yes 
12-Aug-2025	Yes	Yes	No	2	No Trade	No Set up	Tuesday	Aug		37		CPI	0
13-Aug-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Wednesday	Aug		37		0	0
14-Aug-2025	Yes	Yes	Yes	3	Loss	0	Thursday	Aug	-1	36		PPI	0
15-Aug-2025	No	No	No	0	No Trade	0	Friday	Aug		36	1	0	0
18-Aug-2025	Yes	Yes	Yes	3	Loss	0	Monday	Aug	-1	35		0	0
19-Aug-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Aug	2	37		0	0
20-Aug-2025	Yes	Yes	Yes	3	Win	0	Wednesday	Aug	2	39		0	Yes 
21-Aug-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Thursday	Aug		39		0	0
22-Aug-2025	No	No	No	0	No Trade	No Set up	Friday	Aug		39	3	FED	0
25-Aug-2025	Yes	Yes	No	2	No Trade	Missed Win	Monday	Aug		39		0	0
26-Aug-2025	No	No	No	0	No Trade	No Set up	Tuesday	Aug		39		0	0
27-Aug-2025	Yes	Yes	No	2	No Trade	No Set up	Wednesday	Aug		39		0	0
28-Aug-2025	No	No	No	0	No Trade	No Set up	Thursday	Aug		39		0	0
29-Aug-2025	Yes	Yes	Yes	3	Win	0	Friday	Aug	2	41	2	0	0
1-Sep-2025	Yes	Yes	No	2	No Trade	No Set up	Monday	Sept		41		0	0
2-Sep-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Sept	2	43		0	0
3-Sep-2025	Yes	Yes	No	2	No Trade	Missed Win	Wednesday	Sept		43		0	Yes 
4-Sep-2025	Yes	No	Yes	2	No Trade	Avoided Loss	Thursday	Sept		43		0	0
5-Sep-2025	Yes	Yes	No	2	No Trade	Missed Win	Friday	Sept		43	2	NFP	0
8-Sep-2025	No	No	No	0	No Trade	No Set up	Monday	Sept		43		0	0
9-Sep-2025	Yes	Yes	Yes	3	loss	0	Tuesday	Sept	-1	42		0	0
10-Sep-2025	No	No	No	0	No Trade	No Set up	Wednesday	Sept		42		PPI	0
11-Sep-2025	Yes	No	No	1	No Trade	Missed Win	Thursday	Sept		42		CPI	0
12-Sep-2025	Yes	Yes	Yes	3	Win	0	Friday	Sept	2	44	1	0	0
15-Sep-2025	No	No	No	0	No Trade	No Set up	Monday	Sept		44		0	0
16-Sep-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Sept	2	46		0	0
17-Sep-2025	No	No	No	0	No Trade	No Set up	Wednesday	Sept		46		FOMC	0
18-Sep-2025	Yes	Yes	Yes	3	Win	0	Thursday	Sept	2	48		0	Yes 
19-Sep-2025	No	No	No	0	No Trade	No Set up	Friday	Sept		48	4	0	0
22-Sep-2025	Yes	Yes	Yes	3	Win	0	Monday	Sept	2	50		0	0
23-Sep-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Sept	2	52		FED	0
24-Sep-2025	Yes	No	Yes	2	No Trade	Avoided Loss	Wednesday	Sept		52		0	0
25-Sep-2025	Yes	No	No	1	No Trade	No Set up	Thursday	Sept		52		0	0
26-Sep-2025	Yes	Yes	Yes	3	Win	0	Friday	Sept	2	54	6	0	0
29-Sep-2025	No	No	No	0	No Trade	No Set up	Monday	Sept		54		0	0
30-Sep-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Sept	2	56		0	Yes 
1-Oct-2025	No	No	No	0	No Trade	No Set up	Wednesday	Oct		56		0	0
2-Oct-2025	No	No	No	0	No Trade	No Set up	Thursday	Oct		56		0	0
3-Oct-2025	Yes	Yes	Yes	3	Win	0	Friday	Oct	2	58	4	0	0
6-Oct-2025	Yes	Yes	Yes	3	Win	0	Monday	Oct	2	60		0	Yes 
7-Oct-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Oct	2	62		0	Yes 
8-Oct-2025	No	No	No	0	No Trade	No Set up	Wednesday	Oct		62		0	0
9-Oct-2025	Yes	Yes	No	2	No Trade	Missed Win	Thursday	Oct		62		FED	0
10-Oct-2025	No	No	No	0	No Trade	Avoided Loss	Friday	Oct		62	4	0	0
13-Oct-2025	No	No	No	0	No Trade	No Set up	Monday	Oct		62		0	0
14-Oct-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Oct	2	64		FED	Yes 
15-Oct-2025	Yes	Yes	No	2	No Trade	Missed Win	Wednesday	Oct		64		0	0
16-Oct-2025	Yes	Yes	Yes	3	Loss	0	Thursday	Oct	-1	63		0	0
17-Oct-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Friday	Oct		63	1	0	0
20-Oct-2025	Yes	Yes	Yes	3	Win	0	Monday	Oct	2	65		0	Yes 
21-Oct-2025	Yes	Yes	Yes	3	Win	0	Tuesday	Oct	2	67		0	Yes 
22-Oct-2025	No	No	No	0	No Trade	No Set up	Wednesday	Oct	0	67		0	0
23-Oct-2025	Yes	Yes	Yes	3	Win	0	Thursday	Oct	2	69		0	0
24-Oct-2025	Yes	Yes	Yes	3	Loss	0	Friday	Oct	-1	68	5	CPI	0
27-Oct-2025	No	No	No	0	No Trade	No Set up	Monday	Oct		68		0	0
28-Oct-2025	No	No	No	0	No Trade	No Set up	Tuesday	Oct		68		0	0
29-Oct-2025	Yes	Yes	No	2	No Trade	Avoided Loss	Wednesday	Oct		68		FOMC	0
30-Oct-2025	Yes	Yes	No	2	No Trade	No Set up	Thursday	Oct		68		0	0
31-Oct-2025	No	No	No	0	No Trade	No Set up	Friday	Oct		68	0	0	0
3-Nov-2025	Yes	Yes	Yes	3	Win	0	Monday	Nov	2	70		0	Yes 
4-Nov-2025	No	No	No	0	No Trade	No Set up	Tuesday	Nov		70		0	0
5-Nov-2025	Yes	No	Yes	2	no Trade	Avoided Loss	Wednesday	Nov		70		0	0
6-Nov-2025	Yes	Yes	No	2	No Trade	No Set up	Thursday	Nov		70		0	0
7-Nov-2025	No	No	No	0	No Trade	No Set up	Friday	Nov		70	2	0	0
10-Nov-2025	Yes	Yes	Yes	3	Loss	0	Monday	Nov	-1	69		0	0
11-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
12-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
13-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
14-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
17-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
18-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
19-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
20-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
21-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
24-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
25-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
26-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
27-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
28-Nov-2025	0	0	0	0	0	0	0	0		69		0	0
